movieId,released,title,actors,director,genres,imdbRating,movie_detail,similar_movie,location
11,1995-11-17,"American President, The",Martin Sheen|Michael J. Fox|Michael Douglas|Annette Bening,Rob Reiner,Comedy|Romance|Drama,6.8,"Movie American President, The is directed by Rob Reiner having actors named Martin Sheen , Michael J. Fox , Michael Douglas , Annette Bening and it is movie of the genre in Comedy , Romance , Drama. It has a rating of 6.8 and it is released in 1995-11-17",Dave,United States
12,1995-12-22,Dracula: Dead and Loving It,Peter MacNicol|Leslie Nielsen|Steven Weber|Amy Yasbeck,Mel Brooks,Comedy|Horror,5.8,"Movie Dracula: Dead and Loving It is directed by Mel Brooks having actors named Peter MacNicol , Leslie Nielsen , Steven Weber , Amy Yasbeck and it is movie of the genre in Comedy , Horror. It has a rating of 5.8 and it is released in 1995-12-22",Dead and Loving It: Young Frankenstein,United States
13,1995-12-22,Balto,Kevin Bacon|Bob Hoskins|Jim Cummings|Bridget Fonda,Simon Wells,Children|Adventure|Animation,7.1,"Movie Balto is directed by Simon Wells having actors named Kevin Bacon , Bob Hoskins , Jim Cummings , Bridget Fonda and it is movie of the genre in Children , Adventure , Animation. It has a rating of 7.1 and it is released in 1995-12-22",Spirit: Stallion of the Cimarron,United States
14,1996-01-05,Nixon,Ed Harris|Anthony Hopkins|Powers Boothe|Joan Allen,Oliver Stone,Drama,7.1,"Movie Nixon is directed by Oliver Stone having actors named Ed Harris , Anthony Hopkins , Powers Boothe , Joan Allen and it is movie of the genre in Drama. It has a rating of 7.1 and it is released in 1996-01-05",JFK,United States
15,1995-12-22,Cutthroat Island,Geena Davis|Frank Langella|Matthew Modine|Maury Chaykin,Renny Harlin,Romance|Adventure|Action,5.6,"Movie Cutthroat Island is directed by Renny Harlin having actors named Geena Davis , Frank Langella , Matthew Modine , Maury Chaykin and it is movie of the genre in Romance , Adventure , Action. It has a rating of 5.6 and it is released in 1995-12-22",Pirates of the Caribbean: The Curse of the Black Pearl,Malta
16,1995-11-22,Casino,Robert De Niro|Joe Pesci|Sharon Stone|James Woods,Martin Scorsese,Drama|Crime,8.2,"Movie Casino is directed by Martin Scorsese having actors named Robert De Niro , Joe Pesci , Sharon Stone , James Woods and it is movie of the genre in Drama , Crime. It has a rating of 8.2 and it is released in 1995-11-22",Goodfellas,United States
17,1996-01-26,Sense and Sensibility,James Fleet|Kate Winslet|Tom Wilkinson|Harriet Walter,Ang Lee,Drama|Romance,7.7,"Movie Sense and Sensibility is directed by Ang Lee having actors named James Fleet , Kate Winslet , Tom Wilkinson , Harriet Walter and it is movie of the genre in Drama , Romance. It has a rating of 7.7 and it is released in 1996-01-26",Pride and Prejudice,United Kingdom
18,1995-12-25,Four Rooms,Amanda De Cadenet|Valeria Golino|Madonna|Sammi Davis,Allison Anders|Robert Rodriguez|Quentin Tarantino| Alexandre Rockwell,Comedy,6.7,"Movie Four Rooms is directed by Allison Anders|Robert Rodriguez|Quentin Tarantino| Alexandre Rockwell having actors named Amanda De Cadenet , Valeria Golino , Madonna , Sammi Davis and it is movie of the genre in Comedy. It has a rating of 6.7 and it is released in 1995-12-25",Pulp Fiction,United States
19,1995-11-10,Ace Ventura: When Nature Calls,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi,Steve Oedekerk,Comedy,6.3,"Movie Ace Ventura: When Nature Calls is directed by Steve Oedekerk having actors named Jim Carrey , Ian McNeice , Simon Callow , Maynard Eziashi and it is movie of the genre in Comedy. It has a rating of 6.3 and it is released in 1995-11-10",The Mask,United States
20,1995-11-22,Money Train,Wesley Snipes|Robert Blake|Woody Harrelson|Jennifer Lopez,Joseph Ruben,Crime|Comedy|Thriller|Drama|Action,5.6,"Movie Money Train is directed by Joseph Ruben having actors named Wesley Snipes , Robert Blake , Woody Harrelson , Jennifer Lopez and it is movie of the genre in Crime , Comedy , Thriller , Drama , Action. It has a rating of 5.6 and it is released in 1995-11-22",Speed,United States
